"name","Calories (kcal)","Carbohydrates (g)","Total Sugar (g)","Protein (g)","Total Fat (g)","Cholesterol (mg)","Vitamin B6 (mg)","Vitamin A (IU)","Vitamin B12 (ug)","Vitamin C (mg)","Vitamin D (IU)","Vitamin E (IU)","Calcium (g)"
"bread","2.74","0.4754","0.0573","0.1067","0.0453","0","0.00111","0.02","0","0.002","0","0.0019","1.25"
"croissant","4.06","0.458","0.1126","0.082","0.21","0.67","0.00058","7.44","0.0016","0.002","0","0.0084","0.37"
"french bread","2.72","0.5188","0.0462","0.1075","0.0242","0","0.00107","0.01","0","0","0","0.0021","0.52"
"pancakes","2.27","0.283","0","0.064","0.097","0.59","0.00046","1.96","0.0022","0.003","0","0","2.19"
"cheese","3.93","0.0144","0","0.2696","0.3099","0.93","0.00071","10.47","0.0306","0","0","0.006","8.9"
"beef","2.17","0","0","0.2748","0.1105","0.81","0.00758","0.05","0.0189","0","0.03","0.0014","0.19"
"chicken","1.84","0","0","0.2403","0.0899","1.27","0.00413","0.68","0.0038","0","0.04","0.0019","0.12"
"bacon","8.98","0","0","0.0007","0.995","0.97","0.00005","0.37","0.0009","0","0","0","0.01"
"hamburger","2.54","0.2481","0","0.1174","0.1225","0.24","0.0011","0.75","0.008","0.015","0","0","0.57"
"french fries","3.12","0.4144","0.003","0.0343","0.1473","0","0.00372","0","0","0.047","0","0.0167","0.18"
"pizza","2.66","0.3333","0.0358","0.1139","0.0969","0.17","0.0008","3.58","0.0042","0.014","0","0.0083","1.88"
"hotdog","2.47","0.184","0","0.106","0.1484","0.45","0.0005","0","0.0052","0.001","0","0","0.24"
"taco","2.26","0.1985","0.009","0.0886","0.127","0.28","0.0009","1.31","0.0093","0.004","0.04","0.006","0.89"
"burrito","1.8","0.2337","0.021","0.0703","0.068","0.12","0.00097","2.77","0.0027","0.013","0.03","0.0028","0.9"
"popcorn","5","0.572","0","0.09","0.281","0","0.00209","0.11","0","0.003","0","0","0.1"
"rice crackers","4.16","0.8264","0","0.1","0.05","0","0.00554","0","0","0","0","0.0126","0"
"rice","1.3","0.2859","0","0.0238","0.0021","0","0.0005","0","0","0","0","0","0.03"
"spaghetti","1.57","0.3059","0.0056","0.058","0.0093","0","0.00049","0","0","0","0","0.0006","0.07"
"fried shrimp","3.08","0.2799","0.001","0.0784","0.189","0.58","0.0006","1.09","0.0053","0","0.01","0.0252","0.29"
"ice cream","2.22","0.222","0.2116","0.041","0.13","0.91","0.00048","5.89","0.005","0.008","0.29","0.0061","1.31"
"doughnut","4.17","0.574","0.3192","0.045","0.199","0.57","0.00027","0.39","0.001","0.001","0","0.0021","2.13"
"cookie","4.97","0.661","0","0.046","0.252","0","0.00017","0.04","0","0","0","0","0.43"
"cake","3.71","0.534","0","0.053","0.151","0.58","0.00041","1.4","0.0016","0.002","0","0","0.6"
"chocolate bar","5.18","0.6459","0.4868","0.0651","0.2599","0.11","0.0002","0.81","0.0056","0","0","0.0034","1.25"
"candy","3.94","0.98","0.629","0","0.002","0","0.00003","0","0","0","0","0","0.03"
"custard flan","1.45","0.2278","0.2315","0.0453","0.0403","0.9","0.00044","1.61","0.0036","0","0","0.0023","0.83"
"honey","3.04","0.824","0.8212","0.003","0","0","0.00024","0","0","0.005","0","0","0.06"
"milk","0.64","0.0465","0","0.0328","0.0366","0.14","0.00042","1.38","0.0036","0.015","0","0","1.19"
"black tea","0.01","0.003","0","0","0","0","0","0","0","0","0","0","0"
"sake","1.34","0.05","0","0.005","0","0","0","0","0","0","0","0","0.05"
"champagne","0.84","0.0216","0.0096","0.0007","0","0","0.0005","0","0","0","0","0","0.09"
"red wine","0.85","0.0261","0.0062","0.0007","0","0","0.00057","0.02","0","0","0","0","0.08"
"beer","0.43","0.0355","0","0.0046","0","0","0.00046","0","0.0002","0","0","0","0.04"
